#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
14,Entity XXR,Entity,Super,Civilian car,Hypercar,2,"$2,305,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Autarch#Tyrant
15,ETR1,Emperor,Super,Civilian car,Two-door endurance racing car,2,"$1,995,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Nero Custom
16,Furia,Grotti,Super,Civilian car,2-door berlinetta,2,"$2,740,000#$2,055,000 (trade price)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Itali RSX#Turismo R#Visione
17,FMJ,Vapid,Super,Civilian car,Two-door supercar,2,"$1,750,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Vagner
18,GP1,Progen,Super,Civilian car,Two-door supercar,2,"$1,260,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Tyrus
19,Infernus,Pegassi (HD Universe),Super,Civilian car,2-door supercar,2,"$1,000 (Auto merchant)#(GTA Chinatown Wars)#$440,000 (GTA V)#(Southern San Andreas Super Autos)#$440,000 (GTA Online)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,0,Zentorno#Vacca#Reaper#Penetrator#Tempesta#Torero
20,Itali GTB,Progen (GTA Online),Super,Civilian car,2-door sports car (GTA)#2-door supercar (GTA Online),2,"$1,189,000 (GTA Online)#(Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],Itali GTB Custom,T20#Taipan
21,Itali GTB Custom,Progen,Super,Civilian car,Supercar,2,"$495,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Itali GTB
22,Krieger,Benefactor,Super,Civilian car,Supercar,2,"$2,875,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,XA-21#Vagner#Visione#Autarch#Emerus
23,Nero,Truffade,Super,Civilian car,Hypercar,2,"$1,440,000 (Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Nero Custom,Adder#Thrax
24,Nero Custom,Truffade,Super,Civilian car,GT hypercar,2,"$605,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Nero#Thrax
25,Osiris,Pegassi,Super,Civilian car,Hypercar,2,"$1,950,000 #(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,0
26,Penetrator,Ocelot (HD Universe),Super,Civilian car,Sports car (GTA)#Supercar (GTA Online),2,"$880,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],0,XA-21#Porka (GTA; First variant only)#Comet#Infernus (Only GTA III and GTA Liberty City Stories variants)
27,RE-7B,Annis,Super,Civilian car,LMP1 Race Car/ Group C Prototype,2,"$2,475,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,S80RR
28,Reaper,Pegassi,Super,Civilian car,Hypercar,2,"$1,595,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Vacca#Zentorno#Tempesta
29,Rocket Voltic,Coil,Super,Civilian car,Custom roadster,2,"$3,830,400#$2,880,000 (SecuroServ trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],0,Voltic#Oppressor#Vigilante#Scramjet
30,S80RR,Annis,Super,Racing car,Group C Prototype Race Car,1,"$2,575,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,RE-7B
31,SC1,Übermacht,Super,Civilian car,2-door coupe,2,"$1,603,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Jester (GTA V)#Reaper#Tempesta
32,Scramjet,Declasse,Super,Custom vehicle,2-door sports car,2,"$4,628,400#$3,480,000 (trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Rocket Voltic#Ruiner 2000#Vigilante
33,Sultan RS,Karin,Super,Civilian car,2-door rally sports car,2,"$795,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],0,Elegy#Sultan#Elegy RH8#Elegy Retro Custom#Sultan Classic
34,T20,Progen,Super,Civilian vehicle,Two-door hypercar,2,"$2,200,000#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,GP1#Tyrus#Itali GTB#Itali GTB Custom#Visione
35,Taipan,Cheval,Super,Civilian car,Hypercar,2,"$1,980,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,FMJ#Itali GTB Custom#Emerus
36,Tempesta,Pegassi,Super,Civilian car,Two-door supercar,2,"$1,329,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Vacca#Zentorno#Reaper#Infernus
37,Tezeract,Pegassi,Super,Civilian car,2-door hypercar,2,"$2,825,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,X80 Proto#Vagner#Visione#Cyclone#Deveste Eight
38,Thrax,Truffade,Super,Civilian car,Hypercar,2,"$2,325,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Adder#Nero#Nero Custom#Zorrusso
39,Tigon,Lampadati,Super,Civilian car,2-door supercar,2,"$2,310,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Viseris#Turismo R#Penetrator (GTA Online)#Vagner#Visione
40,Turismo R, Grotti,Super,Civilian car,Hypercar,2,"$500,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Turismo#Turismo Classic#Cheetah#Carbonizzare#T20#Visione
41,Tyrant,Överflöd,Super,Civilian car,2-door supercar,2,"$2,515,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Autarch#Entity XXR
42,Tyrus,Progen,Super,Civilian car,Two-door endurance racing car,2,"$2,550,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,GP1
43,Vacca,Pegassi,Super,Civilian car,2-door sports car,2,"$240,000 (GTA V)#(Legendary Motorsport and Southern San Andreas Super Autos)#$240,000 (GTA Online)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Tempesta#Reaper#Zentorno#Infernus
44,Vagner,Dewbauchee,Super,Civilian vehicle,Hypercar,2,"$1,535,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Turismo R#X80 Proto#FMJ#Visione#Deveste Eight
45,Vigilante,Grotti,Super,Custom car,Custom weaponized car,2,"$3,750,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Scramjet#Rocket Voltic#Ruiner 2000
46,Visione,Grotti,Super,Concept car,Hypercar,2,"$2,250,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Turismo R#T20#X80 Proto#Vagner#Tezeract#Deveste Eight
47,Voltic,Coil,Super,Civilian car,2-door roadster,2,"$150,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Rocket Voltic,Cyclone#Locust (GTA Online)
48,X80 Proto,Grotti,Super,Concept car,Hypercar,2,"$2,700,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Deveste Eight#Vagner#Autarch#Visione#Tezeract
49,XA-21,Ocelot,Super,Civilian vehicle,Hypercar,2,"$2,375,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Neo#T20#Penetrator
50,Zentorno,Pegassi,Super,Civilian car,Hypercar,2,"$725,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Infernus#Vacca#Tezeract
51,Zorrusso,Pegassi,Super,Civilian car,Hypercar,2,"$1,925,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Infernus#Vacca#Zentorno#Osiris#T20#Reaper#Thrax
52,8F Drafter,Obey,Sports,Civilian car,2-door coupé,2,"$718,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,9F#Tailgater#Schwartzer
53,9F,Obey,Sports,Civilian car,2-door sports car/coupe,2,"$120,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,9F Cabrio,8F Drafter#Omnis
54,9F Cabrio,Obey,Sports,Civilian car,2-door cabrio,2,"$130,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,9F
55,Alpha,Albany (HD Universe),Sports,Civilian car,2-door coupé,2,"$150,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Revolter#Jester#V-STR
56,Banshee,Bravado (HD Universe),Sports,Civilian car,"2-door roadster (GTA III, GTA SA, GTA LCS, GTA IV, GTA V)#2-door sports car (GTA VC, GTA VCS)",2,"$90,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Banshee 900R,Beast GTS#Mamba (2D Universe)#Stinger Z29
57,Bestia GTS,Grotti,Sports,Civilian car,2-door shooting brake,2,"$610,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Beast GTS#Carbonizzare#Itali GTO
58,Blista Compact,Dinka (HD Universe),Sports,Civilian car,2-door hatchback,2,"$42,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V [EV]#Grand Theft Auto Online [EV],Go Go Monkey Blista,Blista (GTA V)#Hakumai#Futo
59,Go Go Monkey Blista,Dinka,Sports,Civilian car,2-door hatchback,2,$0.00,Arena War,VEHICLE,Grand Theft Auto V [EV]#Grand Theft Auto Online [EV],0,Blista Compact
60,Buffalo,Bravado (HD Universe),Sports,Civilian car,2-door muscle car (3D Universe)#4-door sedan (HD Universe),2,"$28,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto: San Andreas#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Police Buffalo#FIB Buffalo,0
61,Buffalo S,Bravado,Sports,Civilian car,4-door sedan,4,"$96,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Sprunk Buffalo,0
62,Sprunk Buffalo,Bravado,Sports,Civilian car,4-door racing sedan,4,"$35,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V [EV]#Grand Theft Auto Online [DLC] [EV],0,Buffalo#Buffalo S
63,Carbonizzare,Grotti,Sports,Civilian car,Two-door grand tourer,2,"$1,950,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Turismo R#Turismo#Bestia GTS
64,Comet,Pfister (HD Universe),Sports,Civilian car,Sports car,2,"$28,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,500 XLR8#Style SR#Comet Retro Custom#Comet Safari#Comet SR,Porka#Porka Turbo#Speeder#Penetrator (GTA 1)
65,Comet Retro Custom,Pfister,Sports,Civilian car,Sports car,2,"$645,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC] [EV],Comet Safari,Elegy Retro Custom#Porka#Porka Turbo#Speeder#Penetrator (GTA 1)#Comet (3D Universe)
66,Comet Safari,Pfister,Sports,Civilian car,Off-road sports car,2,"$710,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Comet Retro Custom#Brawler#Streiter
67,Comet SR,Pfister,Sports,Civilian car,2-door sports car,2,"$1,145,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Comet#Style SR
68,Coquette,Invetero,Sports,Civilian car,2-door sports car,2,"$183,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Coquette BlackFin#Phobos VT#Stinger Z29#Banshee (GTA Vice City)#Turismo (GTA Chinatown Wars)#CityScape
69,Coquette D10,Invetero,Sports,Civilian car,2-door targa top,2,"$1,510,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Neo#Itali RSX
70,Drift Tampa,Declasse,Sports,Civilian car,2-door wide-body drifting car,2,"$995,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Tampa#Drift Yosemite
71,Elegy Retro Custom,Annis,Sports,Civilian car,Sports car,2,"$904,000.00",Benny's Original Motor Works,VEHICLE,Grand Theft Auto Online [DLC]#,0,Elegy RH8#Elegy#Warrener#Skoiloine
72,Elegy RH8,Annis,Sports,Civilian car,0,2,"$95,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Elegy Retro Custom,Elegy#Warrener#Savestra
73,Feltzer,Benefactor (HD Universe),Sports,Civilian car,Convertible coupé(GTA San Andreas)#Wide-body sports car (HD Universe),2,"$145,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Stirling GT#Schwartzer#Surano#Stinger (III/LCS)
74,Flash GT,Vapid,Sports,Civilian car,3-door hatchback,2,"$1,675,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC][EV],0,Brioso R/A
75,Furore GT,Lampadati (HD Universe),Sports,Civilian car,2-doors sports car,2,"$448,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto 2#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Felon#Felon GT#Pariah
76,Fusilade,Schyster,Sports,Civilian car,2-door coupé,2,"$36,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,PMP 600#Feltzer
77,Futo,Karin,Sports,Civilian car,2-door coupe,2,"$9,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Blista Compact#Manana (3D Universe)
78,GB200,Vapid,Sports,Civilian car,2-door rally/sports car,2,"$940,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Elegy#Omnis#Tropos Rallye
79,Hotring Sabre,Declasse,Sports,Civilian car,2-door stock-racing car,2,"$830,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Hotring Racer#Sabre
80,Imorgon,Överflöd,Sports,Civilian car,2-door sports car,2,"$2,165,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Voltic#Cyclone
81,Issi Sport,Weeny,Sports,Civilian car,2-door compact,2,"$897,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Issi#Brioso R/A#GB200#Flash GT
82,Itali GTO,Grotti,Sports,Civilian car,Sports car,2,"$1,965,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],0,Miara#Monroe#Pariah#Itali RSX
83,Itali RSX,Grotti,Sports,Civilian car,2-door berlinetta,2,"$3,465,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Furia#Coquette D10#Itali GTO (GTA Online)
84,Jester,Dinka (HD Universe),Sports,Civilian car,Two-door tuner coupé (GTA San Andreas)#2-door sports car (GTA V),2,"$240,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories [CUT]#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Jester (Racecar),SC1
85,Jester (Racecar),Dinka (HD Universe),Sports,Civilian car,Two-door racing car,2,"$350,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Jester#Massacro (Racecar)#Sprunk Buffalo#Redwood Gauntlet#Pisswasser Dominator#Burger Shot Stallion
86,Jester Classic,Dinka,Sports,Civilian car,2-door coupé,2,"$790,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Jester (GTA San Andreas)
87,Jugular,• ­Jugular (GTA)#• ­Ocelot (GTA Online),Sports,Civilian car,2-door sports car (GTA)#4-door sports saloon (GTA Online),2,"$1,225,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],0,Felon#Felon GT#Jackal#Raiden#Komoda#V-STR
88,Khamelion,Hijak,Sports,Civilian car,2-door sports car,2,"$100,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC],0,Cyclone
89,Kuruma,Karin (HD Universe),Sports,Civilian car,4-door compact sedan,4,"$126,350.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City [CUT]#Grand Theft Auto: Liberty City Stories#Grand Theft Auto Online [DLC],FBI Car#Kuruma (Armored),Prairie (3D Universe)#Sultan#Sultan Classic#Sugoi
90,Kuruma (Armored),Karin,Sports,Armored civilian car,Four-door armored sedan,4,"$698,250.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC],0,Kuruma#Duke O'Death#ZR380
91,Komoda,Lampadati,Sports,Civilian car,4-door saloon,4,"$1,700,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Schafter V12#Raiden#Revolter#Neon#Michelli GT
92,Lynx,Ocelot,Sports,Civilian car,2-door sports coupe,2,"$1,735,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Surano#Massacro#Massacro (Racecar)#Pariah
93,Locust,Ocelot (HD Universe),Sports,Civilian car,Sports roadster,2,"$1,625,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto: London 1969#Grand Theft Auto Online [DLC] [EV],0,Voltic#Ruston
94,Massacro,Dewbauchee,Sports,Civilian car,2-door coupe,2,"$275,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Massacro (Racecar),Rapid GT#Super GT#Specter
95,Massacro (Racecar),Dewbauchee,Sports,Race car,2-door coupe,2,"$385,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Massacro#Jester#Jester (Racecar)#Sprunk Buffalo#Redwood Gauntlet#Pißwasser Dominator#Burger Shot Stallion
96,Neo,Vysser,Sports,Civilian car,2-door sports car,2,"$1,875,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Coquette#F620#Surano#XA-21#Coquette D10
97,Neon,Pfister,Sports,Civilian car,Electric sports car,4,"$1,500,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Raiden#Comet#Comet SR
98,Omnis,Obey,Sports,Civilian car,2-door compact rally car,2,"$701,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,0
99,Paragon R,Enus,Sports,Civilian car,2-door luxury coupé,2,"$805,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],Paragon R (Armored),Cognoscenti Cabrio#Super Diamond#Super Drop Diamond#Windsor#Windsor Drop#Revolter
100,Paragon R (Armored),Enus,Sports,Civilian car,Armored 2-door luxury coupé,2,$0.00,Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Paragon R#Cognoscenti 55 (Armored)#Cognoscenti (Armored)#Schafter V12 (Armored)#Schafter LWB (Armored)
101,Pariah,Ocelot,Sports,Civilian car,Sports car,2,"$1,420,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Furore GT#Itali GTO
102,Penumbra,Maibatsu,Sports,Civilian car,2-door coupé,2,"$24,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Elegy#Elegy RH8#Elegy Retro Custom#Sultan#Sultan RS#Sultan Classic#Jester Classic
103,Penumbra FF,Maibatsu,Sports,Civilian car,2-door coupe,2,"$1,380,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Elegy#Elegy RH8#Elegy Retro Custom#Sultan#Sultan RS#Sultan Classic#Jester Classic
104,Raiden,Coil,Sports,Civilian vehicle,5-door liftback,4,"$1,375,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Neon#Jackal
105,Rapid GT,Dewbauchee,Sports,Civilian car,2-door coupé#2-door roadster,2,"$140,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Exemplar#Massacro#Super GT
106,Rapid GT,Dewbauchee,Sports,Civilian car,2-door coupé#2-door roadster,2,"$140,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Exemplar#Massacro#Super GT
107,Raptor,BF,Sports,Civilian vehicle,Roadster trike,2,"$648,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,0
108,Revolter,Übermacht,Sports,Civilian car,4-door sports sedan,4,"$1,610,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Alpha (GTA V)#Oracle#V-STR
109,Ruston,Hijak,Sports,Civilian car,2-door sports car,2,"$430,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Locust (GTA Online)
110,Schafter LWB,Benefactor,Sports,Civilian car,4-door sedan,4,"$208,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC],Schafter LWB (Armored),Schafter#Schafter V12#Schafter V12 (Armored)#Schwartzer#
111,Schafter V12,Benefactor,Sports,Civilian car,4-door sedan,4,"$116,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],Schafter V12 (Armored),Schafter#Schafter LWB#Schafter LWB (Armored)#Schwartzer
112,Schwartzer,Benefactor,Sports,Civilian car,2-door coupé,2,"$80,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Schafter#Feltzer#Sentinel XS
113,Schlagen GT,Benefactor,Sports,Civilian car,2-door sports car,2,"$1,300,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Surano#Feltzer#Stirling GT
114,Sentinel Classic,Übermacht,Sports,Civilian vehicle,2-door coupé,2,"$650,000.00",Southern San Andreas Super Autos,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,"Zion Classic#Mafia Sentinel#Sentinel XS (GTA Vice City)#Sentinel (GTA III, GTA Vice City)"
115,Seven-70,Dewbauchee,Sports,Sports car,2-door coupé,2,"$695,000.00",Legendary Motorsport,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Specter
